User Name,Project Name,Project Href
Coelophylla/jksb-sysu,中山大学健康申报自动化（Github Actions）,https://github.com//Coelophylla/jksb-sysu
SYSU-SCC/sysu-thesis,中山大学 LaTeX 论文项目模板,https://github.com//SYSU-SCC/sysu-thesis
huanglu20124/invoice,中山大学智能发票识别系统后台,https://github.com//huanglu20124/invoice
humiaozuzu/YaH3C,中山大学东校区校园网认证的客户端（非官方）,https://github.com//humiaozuzu/YaH3C
WangPerryWPY/Computer-Version,中山大学计算机视觉,https://github.com//WangPerryWPY/Computer-Version
hanteng/nfu_newmedia,中山大学南方学院 2016 - 2017 文学与传媒系【Python语言】,https://github.com//hanteng/nfu_newmedia
Yorkking/SYSU-CS-Postgraduate-Entrance-Examination,中山大学 2021 年 CS 考研复试资料整理,https://github.com//Yorkking/SYSU-CS-Postgraduate-Entrance-Examination
ConstHall/SYSU_SDCS_Final_Exams,中山大学计算机学院期末考试真题整理,https://github.com//ConstHall/SYSU_SDCS_Final_Exams
1FCENdoge/SYSUThesis,中山大学研究生学位论文LaTeX模板（试用）,https://github.com//1FCENdoge/SYSUThesis
dick20/NLP,中山大学自然语言处理与知识图谱,https://github.com//dick20/NLP
